,Sample1 PageRank on short path,Sample1 BetweennessCentrality on short path,Sample1 TotalDegree on short path,Sample1 InDegree on short path,Sample1 OutDegree on short path,Sample2 PageRank on short path,Sample2 BetweennessCentrality on short path,Sample2 TotalDegree on short path,Sample2 InDegree on short path,Sample2 OutDegree on short path,Sample3 PageRank on short path,Sample3 BetweennessCentrality on short path,Sample3 TotalDegree on short path,Sample3 InDegree on short path,Sample3 OutDegree on short path,Sample4 PageRank on short path,Sample4 BetweennessCentrality on short path,Sample4 TotalDegree on short path,Sample4 InDegree on short path,Sample4 OutDegree on short path,Sample5 PageRank on short path,Sample5 BetweennessCentrality on short path,Sample5 TotalDegree on short path,Sample5 InDegree on short path,Sample5 OutDegree on short path,Mean PageRank on short path,Mean BetweennessCentrality on short path,Mean TotalDegree on short path,Mean InDegree on short path,Mean OutDegree on short path
27,6.26212055434335,6.248435114917498,6.26212055434335,6.26212055434335,6.26212055434335,6.135258027369466,6.1290296476072035,6.141208740735249,6.141208740735249,6.141208740735249,6.237873909068505,6.221756504496375,6.2433962018034705,6.2433962018034705,6.240588463982982,6.31984250416851,6.310528080575467,6.326319236854345,6.325953798523458,6.324306410823438,6.2381185082821995,6.240669520226022,6.238608177615659,6.238608177615659,6.238608177615659,6.238642700646406,6.230083773564513,6.242330582270415,6.242257494604237,6.241366469500136
28,6.272774367804225,6.25765561998566,6.274691575940648,6.274691575940648,6.273587932357078,6.150810701964082,6.144400150481071,6.152623977407753,6.152623977407753,6.152623977407753,6.247841577129679,6.238921673539626,6.2540840628027565,6.2540840628027565,6.256746907551994,6.330397425599385,6.325584454249095,6.33858141897624,6.337872925710929,6.336077869546103,6.24780468024303,6.251879582979182,6.249378522221825,6.249378522221825,6.249378522221825,6.24992575054808,6.243688296246927,6.253871911469845,6.253730212816782,6.2536830418169504
29,6.285546862834949,6.2687002021181195,6.28624836980954,6.285326140150285,6.286450941616653,6.165297974439896,6.162526335949934,6.167665235427892,6.167665235427892,6.167665235427892,6.2584582602559955,6.25391447488026,6.270072038292912,6.270072038292912,6.2675392481565,6.345403908144689,6.334341214888048,6.351496766473086,6.349844462518963,6.348499476795969,6.260047072978024,6.25994597951828,6.264457092051017,6.264457092051017,6.264457092051017,6.262950815730711,6.255885641470928,6.26798790041089,6.267472993688214,6.266922398809607
30,6.296318818234881,6.282124703073474,6.298214104549412,6.29689672933299,6.298214104549412,6.177030598616871,6.181098316559374,6.180497126141568,6.180497126141568,6.180497126141568,6.270841462908382,6.26215282993029,6.280134814667605,6.280134814667605,6.283765388244558,6.355275470745056,6.3457346059296516,6.362511687948484,6.362511687948484,6.36171422037478,6.272232434812198,6.271697547579582,6.2759517308761,6.2759517308761,6.2759517308761,6.274339757063477,6.268561600614474,6.2794618928366335,6.27919841779335,6.280028514037284
31,6.307924362400305,6.291149531879216,6.3089089151590185,6.305618595418658,6.308601826102844,6.1925817956228615,6.189159533784031,6.1925817956228615,6.1925817956228615,6.1925817956228615,6.283607527103435,6.278983357636541,6.287039050939691,6.287039050939691,6.293985768528899,6.365164498589029,6.354346190765016,6.372867312788103,6.372119278405385,6.372867312788103,6.287679511764276,6.280891652307387,6.288228776484717,6.288228776484717,6.288228776484717,6.287391539095981,6.278906053274438,6.289925170198877,6.289117499374262,6.291253095905485
32,6.317904964427204,6.303041438314337,6.319420787937191,6.317731111368257,6.318680974637143,6.203955613196549,6.195924410323201,6.209147338620338,6.209147338620338,6.204368340007362,6.2999451036813285,6.29177156931933,6.300959886233734,6.2999451036813285,6.300959886233734,6.37753487722141,6.364333476292003,6.382872717041049,6.380029710693555,6.382872717041049,6.296774188214519,6.290392973480641,6.298527530973742,6.298527530973742,6.298527530973742,6.299222949348203,6.289092773545903,6.302185652161212,6.301076159067444,6.301081889778606
33,6.330131924939162,6.320308256222836,6.328437384932503,6.3283134974000355,6.328699337233332,6.213433546946792,6.202123675708233,6.220705684062812,6.220705684062812,6.221072826295489,6.3075463562744245,6.30809473575454,6.314335270400457,6.313492721253127,6.3143435448261735,6.39089924895375,6.371356133715818,6.39089924895375,6.3887798312624255,6.39089924895375,6.3074252959635455,6.301530313602678,6.313862442086187,6.313862442086187,6.313862442086187,6.3098872746155354,6.30068262300082,6.313648006087142,6.313030835212917,6.313775479878986
34,6.340943668028622,6.324680953022479,6.338547857862592,6.337398801854396,6.340236562425228,6.23039807714989,6.210683612924444,6.23491884265297,6.23491884265297,6.23289349406876,6.317290095742157,6.322982358442927,6.327897423178051,6.325069825564057,6.325896612634282,6.404591106799748,6.383264976673111,6.399541664306011,6.399541664306011,6.399541664306011,6.319412179833119,6.30995565229893,6.326279675392947,6.326279675392947,6.326279675392947,6.322527025510707,6.310313510672378,6.325437092678514,6.324641761954076,6.324969601765445
35,6.349981641675857,6.3397393196429155,6.350227118743261,6.347464815638748,6.350227118743261,6.23589756524724,6.218160563835583,6.247253103070199,6.247253103070199,6.247253103070199,6.327294244217321,6.333652333732357,6.3396080753550175,6.335617515800364,6.337738743487979,6.416222414052897,6.393336453699751,6.410255201456483,6.410255201456483,6.410255201456483,6.330144309243215,6.324099301573558,6.340383971888092,6.340383971888092,6.340383971888092,6.331908034887306,6.321797594496832,6.33754549410261,6.336194921570778,6.3371716277292025
36,6.359335823046864,6.348834732105207,6.359335823046864,6.359335823046864,6.359629848218799,6.250322556000266,6.2283586359257805,6.259802351216363,6.259802351216363,6.259802351216363,6.341164235891217,6.347515712142861,6.3503706711118575,6.3503706711118575,6.3503706711118575,6.42711248277956,6.403903880845585,6.424199975459423,6.424199975459423,6.424199975459423,6.3437747548167,6.335179096643419,6.352413854179639,6.352413854179639,6.352413854179639,6.344341970506921,6.33275841153257,6.34922453500283,6.34922453500283,6.349283340037216
37,6.36406906213103,6.358651284891494,6.3686920454117475,6.3686920454117475,6.37120513519627,6.262959392850309,6.241383877357871,6.270258349957838,6.270258349957838,6.270258349957838,6.355303045891267,6.3584117968594045,6.364355290485123,6.364355290485123,6.358245640487931,6.436803547849876,6.412869548259803,6.4361634064687685,6.4361634064687685,6.4361634064687685,6.356375778043328,6.346520122381737,6.362910952843028,6.362910952843028,6.362910952843028,6.355102165353162,6.343567325950062,6.360476009033301,6.360476009033301,6.359756696990767
